time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-21T21:55:49.120Z,33.8183333,-117.0335,14.83,2.09,ml,73,20,0.05559,0.19,ci,ci37667752,2016-08-21T22:06:29.850Z,"8km WNW of San Jacinto, CA",earthquake,0.19,0.37,0.265,25,automatic,ci,ci
2016-08-21T21:47:48.280Z,37.6241684,-118.8928299,2.13,3.53,mw,38,76,0.008209,0.07,nc,nc72682391,2016-08-22T01:28:20.743Z,"7km ESE of Mammoth Lakes, California",earthquake,0.22,0.32,,4,reviewed,nc,nc
2016-08-21T21:47:41.720Z,33.1606667,-115.633,3.26,1.36,ml,13,155,0.0222,0.13,ci,ci37667728,2016-08-21T21:51:10.006Z,"12km WNW of Calipatria, CA",earthquake,0.79,0.64,0.195,28,automatic,ci,ci
2016-08-21T21:47:34.750Z,33.0658333,-116.0961667,4.27,1.25,ml,9,139,0.1831,0.31,ci,ci37667720,2016-08-21T21:51:07.971Z,"9km SSE of Ocotillo Wells, CA",earthquake,1.4,5.77,0.219,27,automatic,ci,ci
2016-08-21T21:32:16.970Z,33.1706667,-115.6333333,3.74,1.23,ml,11,130,0.01536,0.1,ci,ci37667696,2016-08-21T21:35:46.401Z,"12km WNW of Calipatria, CA",earthquake,0.32,0.2,0.183,16,automatic,ci,ci
2016-08-21T21:28:34.240Z,37.626667,-118.892334,1.55,1.37,md,17,97,0.008398,0.03,nc,nc72682361,2016-08-21T21:30:12.132Z,"7km ESE of Mammoth Lakes, California",earthquake,0.33,0.36,0.13,12,automatic,nc,nc
2016-08-21T21:18:02.370Z,33.1756667,-115.6293333,4.04,1.28,ml,11,146,0.009358,0.13,ci,ci37667672,2016-08-21T21:21:42.740Z,"12km WNW of Calipatria, CA",earthquake,0.75,0.33,0.196,19,automatic,ci,ci
2016-08-21T20:48:13.720Z,32.5898333,-115.736,1.85,1.36,ml,12,237,0.05988,0.24,ci,ci37667632,2016-08-21T20:51:54.952Z,"14km W of Progreso, B.C., MX",earthquake,1.47,0.8,0.111,18,automatic,ci,ci
2016-08-21T20:32:04.260Z,36.0146675,-120.5738297,2.74,1.05,md,9,123,0.03063,0.05,nc,nc72682321,2016-08-21T20:33:42.835Z,"23km SW of Coalinga, California",earthquake,0.47,1.19,0.26,4,automatic,nc,nc
2016-08-21T20:22:34.570Z,33.2908333,-115.5648333,12.5,1.37,ml,8,234,0.1178,0.15,ci,ci37667608,2016-08-21T20:26:19.482Z,"7km NW of Niland, CA",earthquake,1.02,1.58,0.26,22,automatic,ci,ci
