time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-20T09:01:57.180Z,-55.1333,-32.1026,10,4.9,mb,,67,2.683,0.73,us,us10006fdq,2016-08-20T09:28:50.040Z,"299km ESE of Grytviken, South Georgia and the South Sandwich Islands",earthquake,10.4,1.9,0.086,43,reviewed,us,us
2016-08-20T09:01:26.340Z,40.3564,143.6799,10,6,mwp,,63,1.703,1.34,us,us10006fdp,2016-08-21T01:57:21.000Z,"167km ENE of Miyako, Japan",earthquake,6.6,1.8,0.017,369,reviewed,us,us
2016-08-20T08:32:09.000Z,60.1832,-141.3356,15,1.2,ml,,,,0.65,ak,ak13856621,2016-08-20T08:54:30.514Z,"62km ENE of Cape Yakataga, Alaska",earthquake,0.4,1.7,,,automatic,ak,ak
2016-08-20T08:30:37.090Z,36.5428352,-121.0213318,4.36,1.9,md,15,123,0.03849,0.06,nc,nc72681021,2016-08-21T04:55:21.992Z,"30km ENE of Soledad, California",earthquake,0.42,0.74,0.13,12,automatic,nc,nc
2016-08-20T08:28:15.750Z,32.975,-116.4338333,12.01,1.05,ml,26,68,0.08334,0.18,ci,ci37665928,2016-08-20T08:31:52.172Z,"19km NNE of Pine Valley, CA",earthquake,0.32,0.78,0.183,20,automatic,ci,ci
2016-08-20T08:21:14.470Z,39.3276672,-122.8008347,7.94,2.1,md,19,46,0.154,0.05,nc,nc72681006,2016-08-20T08:22:51.251Z,"20km NNE of Upper Lake, California",earthquake,0.24,0.75,0.1,9,automatic,nc,nc
2016-08-20T08:20:09.960Z,39.3326683,-122.805336,4.91,1.74,md,9,96,0.1581,0.03,nc,nc72681001,2016-08-20T08:21:46.140Z,"20km NNE of Upper Lake, California",earthquake,0.92,4.08,0.11,4,automatic,nc,nc
2016-08-20T08:14:56.000Z,60.6613,-142.8437,15,1.1,ml,,,,0.5,ak,ak13856619,2016-08-20T08:25:45.820Z,"70km NNW of Cape Yakataga, Alaska",earthquake,0.5,0.6,,,automatic,ak,ak
2016-08-20T08:01:34.500Z,18.826,-64.1362,39,2.2,Md,4,342,0.61085439,0.15,pr,pr16233001,2016-08-20T11:37:01.570Z,"67km NE of Road Town, British Virgin Islands",earthquake,7.2,8.6,0,3,reviewed,pr,pr
2016-08-20T07:58:20.000Z,63.0389,-151.4062,100,3.3,ml,,,,0.68,ak,ak13856603,2016-08-20T08:40:26.010Z,"103km NW of Talkeetna, Alaska",earthquake,0.2,0.5,,,automatic,ak,ak
2016-08-20T07:20:51.070Z,19.4803333,-155.8051605,11.23,2.18,ml,39,79,0.09952,0.24,hv,hv61380621,2016-08-20T07:26:29.030Z,"6km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.43,0.54,0.1,3,automatic,hv,hv
2016-08-20T07:04:41.363Z,39.9718,-117.8421,8.8,1.4,ml,5,146.6,0.661,0.1864,nn,nn00556888,2016-08-21T02:36:49.854Z,"58km ESE of Lovelock, Nevada",earthquake,,5.3,0,1,reviewed,nn,nn
2016-08-20T06:21:18.306Z,38.2544,-118.7276,12.2,1,ml,13,80.46,0.175,0.0964,nn,nn00556847,2016-08-21T02:36:02.217Z,"31km SSW of Hawthorne, Nevada",earthquake,,2.5,0.33,4,reviewed,nn,nn
2016-08-20T05:56:26.204Z,38.4918,-118.3745,3.4,1.3,ml,14,89.34,0.064,0.1386,nn,nn00556843,2016-08-21T02:36:00.012Z,"22km E of Hawthorne, Nevada",earthquake,,2.6,0.29,4,reviewed,nn,nn
2016-08-20T05:54:04.037Z,39.9531,-120.7842,6.9,1.5,ml,19,85.35,0.102,0.1393,nn,nn00556842,2016-08-21T02:35:57.981Z,"9km ENE of East Quincy, California",earthquake,,1.2,0.31,6,reviewed,nn,nn
2016-08-20T05:52:41.410Z,39.4809,143.7614,14.7,4.6,mb,,170,2.445,0.64,us,us10006fd3,2016-08-20T10:16:34.218Z,"155km E of Yamada, Japan",earthquake,7.9,5.6,0.095,33,reviewed,us,us
2016-08-20T05:41:01.891Z,39.1844,-119.5395,6.2,1.1,ml,20,83.8,0.106,0.1331,nn,nn00556838,2016-08-21T02:35:52.007Z,"7km SE of Dayton, Nevada",earthquake,,2.2,0.34,12,reviewed,nn,nn
2016-08-20T05:32:40.000Z,60.8961,-150.2331,50,2.1,ml,,,,0.71,ak,ak13856276,2016-08-20T05:46:16.376Z,"40km SSW of Anchorage, Alaska",earthquake,0.4,1.9,,,automatic,ak,ak
2016-08-20T05:14:56.550Z,39.5607,143.5379,13.34,5.3,mb,,134,2.257,0.76,us,us10006fcw,2016-08-20T10:19:23.515Z,"136km E of Miyako, Japan",earthquake,7.5,4.7,0.04,204,reviewed,us,us
2016-08-20T05:14:46.000Z,61.6014,-146.3197,40,1.1,ml,,,,0.19,ak,ak13856268,2016-08-20T05:25:39.176Z,"52km N of Valdez, Alaska",earthquake,0.5,0.8,,,automatic,ak,ak
2016-08-20T05:03:36.000Z,62.2398,-144.4824,60,1.6,ml,,,,1.04,ak,ak13856267,2016-08-20T05:11:56.275Z,"57km ENE of Glennallen, Alaska",earthquake,0.7,3.2,,,automatic,ak,ak
2016-08-20T04:46:56.000Z,60.3339,-152.5994,120,1.8,ml,,,,0.25,ak,ak13856262,2016-08-20T04:57:07.483Z,"18km SSE of Redoubt Volcano, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
2016-08-20T04:35:06.000Z,60.7359,-151.5172,80,1.5,ml,,,,0.76,ak,ak13856261,2016-08-20T04:50:11.852Z,"13km WNW of Nikiski, Alaska",earthquake,0.5,1.5,,,automatic,ak,ak
2016-08-20T04:17:06.310Z,19.383667,-155.2268372,2.86,2.45,ml,38,45,0.01454,0.28,hv,hv61380346,2016-08-20T04:22:48.710Z,"5km SSE of Volcano, Hawaii",earthquake,0.37,0.25,0.53,17,automatic,hv,hv
2016-08-20T04:15:19.000Z,60.6349,-150.3442,50,2,ml,,,,0.51,ak,ak13856258,2016-08-20T04:32:50.622Z,"25km ENE of Sterling, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-08-20T03:46:04.970Z,36.5668333,-121.1478333,7.96,1.05,md,15,137,0.03495,0.07,nc,nc72680896,2016-08-20T07:09:12.153Z,"22km NE of Soledad, California",earthquake,0.4,0.78,0.132,14,reviewed,nc,nc
2016-08-20T03:13:45.430Z,-22.9384,173.2545,10,5.3,mb,,82,5.053,0.81,us,us10006fce,2016-08-21T01:57:19.000Z,"137km ESE of Ile Hunter, New Caledonia",earthquake,8.8,1.8,0.038,237,reviewed,us,us
2016-08-20T03:02:32.107Z,37.6311,-117.8789,3.8,1.3,ml,22,75.94,0.274,0.1868,nn,nn00556829,2016-08-21T02:35:43.776Z,"54km ENE of Bishop, California",earthquake,,3.8,0.29,14,reviewed,nn,nn
2016-08-20T02:46:22.082Z,40.6659,-119.4537,8.9,1.3,ml,7,191.43,0.042,0.1934,nn,nn00556827,2016-08-21T02:35:36.950Z,"11km NNW of Gerlach-Empire, Nevada",earthquake,,3,0.17,4,reviewed,nn,nn
2016-08-20T02:44:33.000Z,60.9042,-141.0175,10,1.6,ml,,,,0.7,ak,ak13855942,2016-08-20T03:42:00.761Z,"121km NE of Cape Yakataga, Alaska",earthquake,0.7,0.7,,,automatic,ak,ak
2016-08-20T02:32:07.120Z,36.5307,-98.9055,6.03,3.2,mb_lg,,76,0.106,0.45,us,us10006fc2,2016-08-20T20:01:45.185Z,"28km ENE of Mooreland, Oklahoma",earthquake,2.2,7.7,0.055,87,reviewed,us,us
2016-08-20T02:29:32.800Z,33.276,-116.1103333,1.31,1.09,ml,32,46,0.1463,0.26,ci,ci37665856,2016-08-20T02:33:16.049Z,"15km W of Salton City, CA",earthquake,0.41,1.03,0.148,27,automatic,ci,ci
2016-08-20T02:28:24.550Z,19.4203339,-155.6231689,1.81,1.75,md,13,108,0.01799,0.34,hv,hv61380271,2016-08-20T02:31:33.020Z,"25km E of Honaunau-Napoopoo, Hawaii",earthquake,0.6,0.47,0.2,8,automatic,hv,hv
2016-08-20T02:25:32.000Z,59.5873,-153.2992,120,2,ml,,,,0.75,ak,ak13855934,2016-08-20T02:40:30.317Z,"85km WSW of Anchor Point, Alaska",earthquake,0.9,0.7,,,automatic,ak,ak
2016-08-20T02:19:28.000Z,61.8113,-152.0498,100,2,ml,,,,0.47,ak,ak13855927,2016-08-20T02:33:40.518Z,"106km W of Willow, Alaska",earthquake,1.1,1.3,,,automatic,ak,ak
2016-08-20T01:53:50.630Z,39.2526667,-123.449,8.72,1.29,md,7,110,0.1241,0.06,nc,nc72680826,2016-08-20T06:49:10.086Z,"19km SSW of Willits, California",earthquake,0.42,1.26,0.175,8,reviewed,nc,nc
2016-08-20T01:30:52.600Z,18.9755,-64.9913,62,2.4,Md,5,288,0.62073586,0.05,pr,pr16233000,2016-08-20T03:44:20.099Z,"70km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.8,4.8,0,2,reviewed,pr,pr
2016-08-20T01:01:48.570Z,19.2175007,-155.4663391,38.42,2.38,md,48,99,0.04353,0.17,hv,hv61380211,2016-08-20T01:05:13.600Z,"1km NE of Pahala, Hawaii",earthquake,0.54,0.81,0.15,20,automatic,hv,hv
2016-08-20T00:52:26.490Z,33.0358333,-116.427,6.04,1.22,ml,45,57,0.1435,0.2,ci,ci37665768,2016-08-20T01:25:09.377Z,"17km ESE of Julian, CA",earthquake,0.23,0.84,0.126,37,reviewed,ci,ci
2016-08-20T00:48:15.620Z,37.4421667,-118.5875,16.11,1.03,md,16,60,0.09092,0.04,nc,nc72680791,2016-08-21T02:35:35.019Z,"14km NW of West Bishop, California",earthquake,0.34,1.19,0.241,16,reviewed,nc,nc
2016-08-20T00:32:15.150Z,33.036,-116.4261667,4.94,1.02,ml,34,69,0.1436,0.17,ci,ci37665752,2016-08-20T00:52:19.740Z,"17km ESE of Julian, CA",earthquake,0.25,0.95,0.142,26,reviewed,ci,ci
2016-08-20T00:29:12.000Z,63.4449,-145.9751,5,1.4,ml,,,,0.7,ak,ak13855592,2016-08-20T00:35:36.822Z,"60km SW of Deltana, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-08-20T00:23:40.000Z,63.2479,-149.2093,200,1.5,ml,,,,0.94,ak,ak13855276,2016-08-20T00:28:13.311Z,"20km SW of Cantwell, Alaska",earthquake,3.6,7.6,,,automatic,ak,ak
2016-08-20T00:15:39.400Z,-55.0828,-32.0177,10,5.2,mb,,60,2.716,0.81,us,us10006fbm,2016-08-20T00:33:13.040Z,"South Georgia Island region",earthquake,9.6,1.9,0.063,84,reviewed,us,us
2016-08-20T00:04:22.830Z,-55.1915,-31.27,10,5.2,mb,,53,3.158,0.63,us,us10006fbk,2016-08-20T00:24:20.040Z,"South Georgia Island region",earthquake,9.4,0.9,0.058,100,reviewed,us,us
2016-08-20T00:02:39.030Z,37.4855,-118.78,5.57,1.73,md,37,102,0.04645,0.07,nc,nc72680781,2016-08-20T05:55:02.126Z,"24km SE of Mammoth Lakes, California",earthquake,0.23,0.83,0.264,32,reviewed,nc,nc
2016-08-20T00:00:45.180Z,39.3158333,-122.796,9.25,2.24,md,33,39,0.1495,0.09,nc,nc72680776,2016-08-20T05:17:56.920Z,"19km NNE of Upper Lake, California",earthquake,0.17,0.67,0.102,34,reviewed,nc,nc
2016-08-19T23:57:47.780Z,38.814167,-122.8170013,2.01,1.03,md,15,86,0.01069,0.02,nc,nc72680766,2016-08-19T23:59:23.199Z,"6km NW of The Geysers, California",earthquake,0.26,0.4,0.02,5,automatic,nc,nc
2016-08-19T23:44:28.970Z,37.5073333,-119.3523333,7.17,1.18,md,17,110,0.1853,0.05,nc,nc72680761,2016-08-20T04:54:00.055Z,"32km NE of Oakhurst, California",earthquake,0.37,2.47,0.144,12,reviewed,nc,nc
2016-08-19T23:34:02.000Z,65.0045,-147.3303,5,1.3,ml,,,,0.59,ak,ak13855270,2016-08-19T23:44:34.882Z,"24km NNE of Badger, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-08-19T23:30:53.690Z,46.1281667,-122.8501667,11.25,1.05,ml,11,101,0.07678,0.38,uw,uw61181537,2016-08-20T06:27:01.960Z,"4km ESE of Kelso, Washington",earthquake,1.41,1.67,0.207,10,reviewed,uw,uw
2016-08-19T23:22:26.000Z,61.654,-146.4189,15,2,ml,,,,1.1,ak,ak13855266,2016-08-19T23:36:24.406Z,"58km N of Valdez, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-08-19T23:17:17.000Z,60.5903,-152.4329,70,1.5,ml,,,,1.11,ak,ak13855264,2016-08-19T23:28:25.610Z,"20km NE of Redoubt Volcano, Alaska",earthquake,0.9,1.2,,,automatic,ak,ak
2016-08-19T23:02:51.000Z,63.5109,-147.4528,1.9,1,ml,,,,0.55,ak,ak13855259,2016-08-20T00:09:01.387Z,"75km E of Cantwell, Alaska",earthquake,0.6,0.7,,,reviewed,ak,ak
2016-08-19T23:02:26.000Z,63.0838,-152.019,100,2.5,ml,,,,1.17,ak,ak13855247,2016-08-19T23:12:12.073Z,"129km NW of Talkeetna, Alaska",earthquake,2.2,3.5,,,automatic,ak,ak
2016-08-19T22:56:59.820Z,-55.2469,-31.1963,10,4.9,mb,,67,3.214,0.69,us,us10006fb7,2016-08-20T00:28:50.040Z,"297km WNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.3,1.9,0.091,38,reviewed,us,us
2016-08-19T22:54:31.000Z,63.2923,-150.3162,100,1.1,ml,,,,0.82,ak,ak13855246,2016-08-19T23:04:06.914Z,"69km W of Cantwell, Alaska",earthquake,1.4,1.3,,,automatic,ak,ak
2016-08-19T22:53:31.490Z,38.8078333,-122.817,3.29,1.2,md,43,82,0.009571,0.06,nc,nc72680751,2016-08-19T23:20:08.180Z,"6km WNW of The Geysers, California",earthquake,0.16,0.22,0.176,11,reviewed,nc,nc
2016-08-19T22:32:10.980Z,38.4176,70.5856,10,4.2,mb,,94,0.618,1.42,us,us10006fb2,2016-08-19T23:06:22.040Z,"59km NE of Muminobod, Tajikistan",earthquake,3.3,1.5,0.187,8,reviewed,us,us
2016-08-19T22:26:08.000Z,61.2984,-139.7529,5,2,ml,,,,0.52,ak,ak13854945,2016-08-19T22:31:47.997Z,"135km WNW of Haines Junction, Canada",earthquake,0.2,0.3,,,automatic,ak,ak
2016-08-19T22:25:11.000Z,62.8645,-150.414,120,1.6,ml,,,,0.64,ak,ak13854942,2016-08-19T22:39:54.989Z,"62km NNW of Talkeetna, Alaska",earthquake,0.4,0.6,,,automatic,ak,ak
2016-08-19T22:22:14.190Z,35.4392,-97.8302,5,2.8,mb_lg,,64,0.164,1.17,us,us10006fau,2016-08-19T22:48:02.432Z,"9km SW of Yukon, Oklahoma",earthquake,0.9,2,0.17,9,reviewed,us,us
2016-08-19T22:21:46.000Z,61.6513,-146.3138,20,1.6,ml,,,,0.81,ak,ak13854939,2016-08-19T22:39:53.758Z,"58km N of Valdez, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-08-19T21:36:14.000Z,56.4945,-156.3732,50,2.5,ml,,,,0.62,ak,ak13854924,2016-08-19T21:51:38.961Z,"87km NNW of Chirikof Island, Alaska",earthquake,0.8,1.3,,,automatic,ak,ak
2016-08-19T21:12:03.500Z,49.4615,-120.5125,-0.53,1.7,ml,5,231,0.603,0.38,uw,uw61181482,2016-08-19T22:48:05.930Z,"0km NNW of Princeton, Canada",explosion,4.59,31.61,0.046,3,reviewed,uw,uw
2016-08-19T21:05:31.880Z,-55.1003,-32.0781,10,4.8,mb,,111,2.687,0.85,us,us10006f9s,2016-08-19T21:22:02.040Z,"299km ESE of Grytviken, South Georgia and the South Sandwich Islands",earthquake,8.4,1.9,0.112,25,reviewed,us,us
2016-08-19T20:59:10.020Z,38.8093338,-122.8239975,2.39,1.01,md,13,134,0.004074,0.03,nc,nc72680711,2016-08-19T21:00:44.174Z,"6km WNW of The Geysers, California",earthquake,0.41,0.53,0.1,4,automatic,nc,nc
2016-08-19T20:48:48.540Z,38.7886667,-122.7493333,1.12,1.32,md,34,41,0.01125,0.04,nc,nc72680706,2016-08-19T23:03:03.660Z,"1km NNE of The Geysers, California",earthquake,0.11,0.21,0.073,9,reviewed,nc,nc
2016-08-19T20:43:55.470Z,33.39,-116.8995,4.71,1.85,ml,62,40,0.04762,0.22,ci,ci37665648,2016-08-19T22:19:18.310Z,"5km NW of Palomar Observatory, CA",earthquake,0.19,0.54,0.18,74,reviewed,ci,ci
2016-08-19T20:37:16.850Z,-55.2031,-32.1207,13.89,5.6,mb,,45,2.694,0.74,us,us10006f9k,2016-08-20T17:08:22.317Z,"300km ESE of Grytviken, South Georgia and the South Sandwich Islands",earthquake,5.2,3.2,0.051,133,reviewed,us,us
2016-08-19T20:37:16.000Z,59.9617,-140.9623,15,1.5,ml,,,,0.95,ak,ak13854610,2016-08-19T20:45:43.998Z,"82km E of Cape Yakataga, Alaska",earthquake,0.7,0.2,,,automatic,ak,ak
2016-08-19T20:33:10.000Z,60.2971,-141.1395,20,1.3,ml,,,,0.8,ak,ak13854605,2016-08-19T20:45:45.424Z,"76km ENE of Cape Yakataga, Alaska",earthquake,0.6,0.2,,,automatic,ak,ak
2016-08-19T20:27:42.000Z,61.7439,-146.0388,50,1.3,ml,,,,0.96,ak,ak13854597,2016-08-19T20:45:44.725Z,"48km SSW of Glennallen, Alaska",earthquake,0.5,0.4,,,automatic,ak,ak
2016-08-19T20:01:26.390Z,37.4069,71.7979,163.8,4.2,mb,,86,0.164,1.3,us,us10006f91,2016-08-20T15:41:32.040Z,"16km N of Roshtqal'a, Tajikistan",earthquake,7.6,8.4,0.137,15,reviewed,us,us
2016-08-19T19:33:51.740Z,36.04,-117.4941667,1.88,1.55,ml,27,48,0.01843,0.13,ci,ci37665560,2016-08-19T19:53:09.220Z,"31km NNW of Searles Valley, CA",earthquake,0.18,0.22,0.113,22,reviewed,ci,ci
2016-08-19T19:28:24.530Z,36.0386667,-117.4935,2.05,1.05,ml,22,48,0.01962,0.15,ci,ci37665544,2016-08-19T19:49:01.179Z,"31km NNW of Searles Valley, CA",earthquake,0.21,0.25,0.176,7,reviewed,ci,ci
2016-08-19T19:20:20.370Z,33.954,-117.932,10.57,1.48,ml,50,85,0.01101,0.19,ci,ci37665528,2016-08-19T20:00:21.750Z,"2km ESE of La Habra Heights, CA",earthquake,0.22,0.35,0.186,25,reviewed,ci,ci
2016-08-19T19:18:59.260Z,34.5351667,-119.109,13.4,1.77,ml,31,36,0.1008,0.23,ci,ci37665520,2016-08-19T19:47:59.780Z,"16km NE of Ojai, CA",earthquake,0.28,0.66,0.161,16,reviewed,ci,ci
2016-08-19T19:16:44.000Z,63.46,-144.8523,5,1.1,ml,,,,0.66,ak,ak13854308,2016-08-19T19:28:43.718Z,"49km SSE of Deltana, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-08-19T19:03:52.180Z,44.0205,-121.2513333,-1.52,2.03,ml,9,146,0.07195,0.07,uw,uw61181407,2016-08-19T22:42:42.310Z,"6km SE of Bend, Oregon",explosion,0.55,31.61,0.171,23,reviewed,uw,uw
2016-08-19T18:54:46.000Z,61.6513,-146.3138,25,1.5,ml,,,,0.81,ak,ak13854305,2016-08-19T19:01:21.839Z,"58km N of Valdez, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-08-19T18:49:26.000Z,61.7665,-151.4605,50,2.1,ml,,,,0.68,ak,ak13854300,2016-08-19T19:01:21.152Z,"75km W of Willow, Alaska",earthquake,0.4,1,,,automatic,ak,ak
2016-08-19T18:48:56.990Z,36.2456667,-120.819,6.27,2.08,md,52,73,0.03298,0.1,nc,nc72680626,2016-08-19T22:47:57.780Z,"27km E of King City, California",earthquake,0.21,0.31,0.161,51,reviewed,nc,nc
2016-08-19T18:29:10.380Z,39.3156,72.9847,43.23,4.3,mb,,151,0.929,0.78,us,us10006f7v,2016-08-20T14:59:45.040Z,"51km SSW of Sary-Tash, Kyrgyzstan",earthquake,7,9.4,0.169,10,reviewed,us,us
2016-08-19T18:04:05.880Z,36.5501667,-121.137,2.9,2.08,md,43,38,0.01978,0.06,nc,nc72680576,2016-08-19T22:08:51.259Z,"21km NE of Soledad, California",earthquake,0.15,0.25,0.278,39,reviewed,nc,nc
2016-08-19T17:57:59.000Z,62.3368,-148.0622,25,1.6,ml,,,,0.94,ak,ak13854288,2016-08-19T18:11:37.989Z,"72km NE of Sutton-Alpine, Alaska",earthquake,0.5,0.2,,,automatic,ak,ak
2016-08-19T17:49:35.930Z,33.521,-116.4518333,9.3,1.35,ml,60,53,0.02196,0.15,ci,ci37665408,2016-08-19T18:25:18.290Z,"21km SW of La Quinta, CA",earthquake,0.15,0.24,0.205,46,reviewed,ci,ci
2016-08-19T17:43:03.000Z,61.6513,-146.3138,10,1.4,ml,,,,1.09,ak,ak13854258,2016-08-19T18:03:37.775Z,"58km N of Valdez, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-08-19T17:36:28.000Z,61.6036,-146.3339,23.3,4.2,ml,,,,0.53,ak,ak13853965,2016-08-20T16:28:35.784Z,"52km N of Valdez, Alaska",earthquake,0.2,0.3,,,reviewed,ak,ak
2016-08-19T17:33:40.520Z,-55.2088,-32.0731,4.34,5.8,mww,,27,2.721,0.74,us,us10006f6x,2016-08-20T14:34:17.250Z,"South Georgia Island region",earthquake,6.1,3.2,,,reviewed,us,us
2016-08-19T17:33:27.000Z,59.0357,-152.4349,50,2.7,ml,,,,0.43,ak,ak13853957,2016-08-19T18:03:38.441Z,"84km SW of Homer, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-08-19T17:27:09.000Z,60.8494,-149.5894,30,1.7,ml,,,,0.79,ak,ak13853955,2016-08-19T17:39:00.735Z,"44km SSE of Anchorage, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-08-19T17:08:13.620Z,33.822,-117.4815,-0.57,1.41,ml,58,40,0.03073,0.24,ci,ci37665360,2016-08-19T18:16:55.189Z,"7km SSE of Home Gardens, CA",quarry blast,0.31,31.61,0.166,33,reviewed,ci,ci
2016-08-19T16:39:01.090Z,33.1361667,-115.5875,3.86,1.62,ml,34,95,0.01622,0.22,ci,ci37665312,2016-08-19T16:58:02.036Z,"7km W of Calipatria, CA",earthquake,0.2,0.19,0.181,41,reviewed,ci,ci
2016-08-19T16:27:57.000Z,62.5391,-151.548,100,1.9,ml,,,,0.54,ak,ak13853948,2016-08-19T16:39:44.750Z,"78km WNW of Talkeetna, Alaska",earthquake,0.4,0.8,,,automatic,ak,ak
2016-08-19T16:22:16.080Z,39.3325,-122.8056667,9.1,2.33,md,28,100,0.3355,0.09,nc,nc72680456,2016-08-20T00:45:05.186Z,"20km NNE of Upper Lake, California",earthquake,0.27,1.3,0.204,28,reviewed,nc,nc
2016-08-19T16:21:07.170Z,39.3289986,-122.7988358,7.83,2.2,md,15,98,0.1526,0.08,nc,nc72680451,2016-08-19T16:22:42.705Z,"20km NNE of Upper Lake, California",earthquake,0.32,1.03,0.08,7,automatic,nc,nc
2016-08-19T16:07:30.850Z,40.878334,-123.6705017,15.53,2.16,md,7,117,0.2791,0.06,nc,nc72680411,2016-08-19T16:09:07.639Z,"7km SSW of Willow Creek, California",earthquake,0.61,1.17,0.14,5,automatic,nc,nc
2016-08-19T15:58:06.415Z,41.9082,-119.7608,7.3,1.1,ml,5,212.01,0.055,0.1217,nn,nn00556804,2016-08-19T18:12:34.341Z,"57km ESE of Lakeview, Oregon",earthquake,,2.7,0.22,3,reviewed,nn,nn
2016-08-19T15:58:04.500Z,19.1615,-64.6727,12,2.5,Md,3,316.8,0.74111011,0.03,pr,pr16232006,2016-08-19T19:45:23.707Z,"82km N of Road Town, British Virgin Islands",earthquake,4.4,6.1,0,2,reviewed,pr,pr
2016-08-19T15:48:18.730Z,50.6225,152.9402,317.32,4.2,mb,,166,3.859,0.65,us,us10006f4n,2016-08-19T16:11:38.040Z,"225km W of Severo-Kuril'sk, Russia",earthquake,14.4,10,0.079,44,reviewed,us,us
2016-08-19T15:37:53.990Z,33.3138333,-115.6831667,6.79,1.18,ml,5,184,0.05705,0.1,ci,ci37665184,2016-08-19T17:05:55.605Z,"6km SE of Bombay Beach, CA",earthquake,0.51,0.72,0.037,2,reviewed,ci,ci
2016-08-19T15:25:30.500Z,18.6478,-64.5849,49,2,Md,3,302.4,0.23086703,0.05,pr,pr16232005,2016-08-19T19:26:35.475Z,"25km N of Road Town, British Virgin Islands",earthquake,4,2.5,0,1,reviewed,pr,pr
2016-08-19T15:24:44.000Z,59.704,-153.1126,80,1.6,ml,,,,0.67,ak,ak13853683,2016-08-19T15:34:15.833Z,"72km W of Anchor Point, Alaska",earthquake,0.6,0.8,,,automatic,ak,ak
2016-08-19T15:10:56.820Z,38.8478333,-122.823,1.84,1.59,md,40,54,0.006822,0.04,nc,nc72680361,2016-08-19T21:22:44.802Z,"9km WNW of Cobb, California",earthquake,0.14,0.2,0.212,9,reviewed,nc,nc
2016-08-19T15:09:06.620Z,33.7706667,-116.0913333,1.84,1.27,ml,43,83,0.1115,0.17,ci,ci37665152,2016-08-19T16:47:05.780Z,"13km NE of Coachella, CA",earthquake,0.17,0.34,0.101,39,reviewed,ci,ci
2016-08-19T14:55:18.000Z,60.9776,-147.5264,5,1.4,ml,,,,0.19,ak,ak13853673,2016-08-19T15:02:55.955Z,"65km WSW of Valdez, Alaska",earthquake,0.4,0.6,,,automatic,ak,ak
2016-08-19T14:53:21.800Z,19.083,-65.004,44,2.6,Md,4,295.2,0.7285337,0.09,pr,pr16232004,2016-08-19T16:50:43.956Z,"82km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.8,9.8,0,3,reviewed,pr,pr
2016-08-19T14:23:51.110Z,19.1973324,-155.4624939,34.44,1.91,md,51,105,0.0417,0.15,hv,hv61379706,2016-08-19T14:27:04.640Z,"2km ESE of Pahala, Hawaii",earthquake,0.46,0.87,0.24,17,automatic,hv,hv
2016-08-19T14:15:06.040Z,33.488,-116.7926667,4.01,1.72,ml,59,32,0.08999,0.19,ci,ci37665096,2016-08-19T14:59:03.780Z,"8km NE of Aguanga, CA",earthquake,0.17,0.55,0.133,26,reviewed,ci,ci
2016-08-19T14:13:48.940Z,38.7466667,-122.7283333,0.04,1.4,md,33,99,0.01403,0.06,nc,nc72680281,2016-08-19T19:37:59.960Z,"4km SE of The Geysers, California",earthquake,0.14,0.31,0.192,11,reviewed,nc,nc
2016-08-19T14:08:44.000Z,63.0997,-150.8382,140,1.3,ml,,,,0.32,ak,ak13853402,2016-08-19T14:15:57.021Z,"94km NNW of Talkeetna, Alaska",earthquake,1,1.5,,,automatic,ak,ak
2016-08-19T14:01:11.110Z,38.7473333,-122.7283333,0.35,1.57,md,36,96,0.01376,0.07,nc,nc72680271,2016-08-19T19:59:04.120Z,"4km SE of The Geysers, California",earthquake,0.14,0.3,0.434,11,reviewed,nc,nc
2016-08-19T13:42:23.120Z,-55.1558,-31.5865,10,5,mb,,112,2.974,1.24,us,us10006f18,2016-08-19T13:56:37.040Z,"South Georgia Island region",earthquake,8.9,1.9,0.109,27,reviewed,us,us
2016-08-19T13:31:43.000Z,61.741,-148.4163,10,1.1,ml,,,,0.44,ak,ak13853375,2016-08-19T13:44:44.101Z,"23km ESE of Sutton-Alpine, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-08-19T13:31:15.280Z,37.0228333,-121.2,-0.4,1.5,md,23,80,0.05427,0.06,nc,nc72680266,2016-08-19T20:19:08.323Z,"26km NE of Hollister, California",earthquake,0.2,0.52,0.167,21,reviewed,nc,nc
